record,created_at
78.9*2*60.5,2025-01-01 00:00:57
76.5*2*74.0,2025-01-01 06:00:58
75.8*2*77.8,2025-01-01 12:00:57
77.4*2*80.1,2025-01-01 13:29:24
79.4*2*78.0,2025-01-01 14:06:25
79.0*2*89.8,2025-01-01 14:54:03
78.9*2*75.8,2025-01-01 17:08:24
79.0*2*76.6,2025-01-01 18:00:55
78.5*2*73.9,2025-01-02 00:00:56
75.7*2*79.9,2025-01-02 06:00:57
73.2*2*89.9,2025-01-02 12:00:53
79.6*2*69.6,2025-01-02 18:01:05
79.1*2*91.7,2025-01-03 00:01:00
82.3*2*73.6,2025-01-06 15:02:03
82.2*2*71.6,2025-01-06 18:00:56
82.2*2*78.4,2025-01-07 00:00:58
80.5*2*91.5,2025-01-07 06:00:55
81.3*2*95.5,2025-01-07 12:00:56
83.3*2*83.5,2025-01-07 15:31:59
83.2*2*83.8,2025-01-07 18:00:58
84.4*2*90.3,2025-01-07 21:53:59
84.6*2*90.3,2025-01-08 00:00:56
84.1*2*84.6,2025-01-08 06:01:00
81.1*2*93.6,2025-01-08 12:00:54
82.4*2*69.3,2025-01-08 15:39:19
82.6*2*69.1,2025-01-08 18:00:55
80.7*2*89.3,2025-01-09 00:01:01
82.1*2*90.6,2025-01-09 06:00:53
80.5*2*93.7,2025-01-09 12:00:56
79.2*2*69.6,2025-01-09 18:01:04
82.5*2*74.8,2025-01-10 00:00:59
80.5*2*2,2025-01-10 06:00:53
79.0*2*95.8,2025-01-10 12:00:56
79.9*2*79.2,2025-01-10 18:01:03
78.6*2*84.4,2025-01-11 00:00:54
81.0*2*88.1,2025-01-11 06:00:57
77.8*2*96.0,2025-01-11 12:00:53
78.2*2*79.0,2025-01-11 18:01:03
81.1*2*70.8,2025-01-12 00:00:54
78.9*2*87.2,2025-01-12 06:00:54
78.3*2*98.4,2025-01-12 12:00:53
77.6*2*93.5,2025-01-12 18:01:03
79.4*2*97.3,2025-01-12 22:53:00
79.7*2*96.5,2025-01-13 00:00:57
78.2*2*94.6,2025-01-13 06:00:57
79.4*2*97.4,2025-01-13 12:00:55
83.0*2*68.6,2025-01-13 16:49:11
80.8*2*90.1,2025-01-13 21:38:27
81.0*2*90.1,2025-01-14 00:01:00
78.9*2*89.9,2025-01-14 06:00:58
77.2*2*82.3,2025-01-14 12:00:53
82.8*2*56.2,2025-01-14 16:19:35
83.2*2*55.9,2025-01-14 18:00:54
82.5*2*52.2,2025-01-15 00:00:53
79.2*2*82.2,2025-01-15 06:00:58
75.0*2*74.1,2025-01-15 12:00:53
74.6*2*60.4,2025-01-15 18:01:02
79.3*2*61.9,2025-01-16 00:01:03
79.6*2*77.4,2025-01-16 06:00:54
76.7*2*88.0,2025-01-16 12:01:00
78.2*2*57.4,2025-01-16 18:01:05
80.8*2*63.6,2025-01-17 00:00:53
79.8*2*87.3,2025-01-17 06:00:58
75.3*2*82.0,2025-01-17 12:00:58
77.7*2*53.9,2025-01-17 18:01:02
82.3*2*63.7,2025-01-18 00:00:53
81.2*2*84.7,2025-01-18 06:01:00
75.3*2*91.4,2025-01-18 12:01:00
77.0*2*65.0,2025-01-18 18:01:04
80.2*2*76.3,2025-01-18 19:49:38
79.8*2*76.2,2025-01-19 00:00:55
79.5*2*83.3,2025-01-19 06:00:59
75.1*2*90.1,2025-01-19 08:43:38
74.7*2*90.3,2025-01-19 12:00:55
80.8*2*67.7,2025-01-19 17:17:47
80.9*2*67.9,2025-01-19 18:00:59
2*2*2,2025-01-20 00:00:57
79.0*2*80.6,2025-01-20 06:00:58
82.3*2*89.9,2025-01-20 12:00:55
80.4*2*67.2,2025-01-20 18:00:59
81.3*2*84.9,2025-01-21 00:00:53
82.0*2*91.4,2025-01-21 06:00:56
77.5*2*91.5,2025-01-21 12:00:53
78.8*2*76.9,2025-01-21 18:01:00
83.3*2*76.3,2025-01-22 00:00:53
80.7*2*90.7,2025-01-22 06:00:56
80.6*2*77.2,2025-01-22 11:07:52
81.3*2*77.0,2025-01-22 12:01:04
82.7*2*70.6,2025-01-22 18:00:57
81.7*2*79.3,2025-01-23 00:01:03
81.5*2*2,2025-01-23 06:00:53
77.5*2*96.4,2025-01-23 12:01:06
83.3*2*68.4,2025-01-23 18:00:53
80.6*2*94.0,2025-01-24 00:00:59
79.5*2*92.7,2025-01-24 06:00:53
80.3*2*89.6,2025-01-24 09:51:41
80.7*2*84.8,2025-01-24 10:20:20
80.7*2*84.2,2025-01-24 12:00:55
82.7*2*75.4,2025-01-24 18:00:53
81.4*2*88.0,2025-01-24 21:08:00
80.8*2*85.3,2025-01-25 00:00:58
81.2*2*88.4,2025-01-25 06:00:54
76.6*2*93.9,2025-01-25 12:00:57
75.2*2*75.2,2025-01-25 18:00:57
75.0*2*77.3,2025-01-25 19:20:38
79.8*2*81.8,2025-01-25 20:32:06
2*2*81.9,2025-01-26 00:00:57
77.7*2*87.1,2025-01-26 06:00:57
75.8*2*92.7,2025-01-26 12:00:54
72.8*2*83.0,2025-01-26 18:00:53
75.5*2*81.0,2025-01-27 00:01:04
76.4*2*92.3,2025-01-27 06:00:57
78.4*2*96.3,2025-01-27 12:00:53
75.0*2*64.7,2025-01-27 18:00:53
81.4*2*49.1,2025-01-28 00:01:06
76.4*2*82.0,2025-01-28 06:01:02
77.0*2*92.9,2025-01-28 12:00:55
73.3*2*82.1,2025-01-28 18:00:53
74.5*2*75.1,2025-01-29 00:01:06
74.9*2*87.3,2025-01-29 06:01:01
77.1*2*93.6,2025-01-29 12:00:55
74.6*2*59.4,2025-01-29 18:00:53
75.5*2*2,2025-01-30 00:01:02
76.5*2*83.9,2025-01-30 06:00:57
75.1*2*89.6,2025-01-30 12:00:54
73.2*2*65.3,2025-01-30 18:00:53
73.6*2*78.1,2025-01-30 19:32:29
74.1*2*79.1,2025-01-31 00:01:03
75.3*2*87.2,2025-01-31 06:01:04
75.7*2*71.6,2025-01-31 18:12:02
75.9*2*75.1,2025-01-31 19:39:15
75.4*2*75.0,2025-02-01 00:01:01
76.6*2*84.9,2025-02-01 06:00:56
77.1*2*88.7,2025-02-01 12:00:53
73.9*2*79.1,2025-02-01 18:00:52
75.5*2*73.3,2025-02-02 00:01:07
76.8*2*84.8,2025-02-02 06:00:58
77.1*2*91.5,2025-02-02 12:00:55
74.3*2*82.6,2025-02-02 18:00:53
74.4*2*73.8,2025-02-03 00:01:05
75.4*2*87.1,2025-02-03 06:00:53
77.2*2*99.1,2025-02-03 12:00:57
75.2*2*70.2,2025-02-03 18:00:53
76.5*2*80.7,2025-02-03 19:36:54
77.6*2*85.0,2025-02-03 21:34:52
77.8*2*85.3,2025-02-04 00:00:59
77.1*2*89.7,2025-02-04 06:00:53
78.8*2*95.0,2025-02-04 12:00:56
75.6*2*74.0,2025-02-04 16:18:33
76.9*2*87.3,2025-02-08 06:48:06
77.1*2*85.4,2025-02-08 12:00:58
80.0*2*74.9,2025-02-08 18:00:53
79.1*2*85.8,2025-02-09 09:13:12
79.0*2*83.7,2025-02-09 09:26:35
78.8*2*83.6,2025-02-09 12:01:02
80.0*2*64.6,2025-02-09 13:40:24
80.0*2*64.5,2025-02-09 18:00:57
80.0*2*83.2,2025-02-09 20:03:12
79.9*2*83.6,2025-02-09 22:31:31
79.1*2*84.7,2025-02-09 22:43:37
79.0*2*84.5,2025-02-09 23:06:49
78.9*2*85.5,2025-02-10 00:00:59
78.7*2*87.2,2025-02-10 06:00:53
78.1*2*93.8,2025-02-10 12:01:00
81.2*2*62.5,2025-02-10 13:42:52
81.1*2*59.0,2025-02-10 14:35:13
81.1*2*65.9,2025-02-10 18:00:57
80.7*2*76.1,2025-02-11 00:00:54
80.2*2*89.6,2025-02-11 06:00:56
79.0*2*94.0,2025-02-11 12:00:53
80.9*2*54.8,2025-02-11 18:01:05
80.2*2*80.0,2025-02-11 21:34:00
80.2*2*80.5,2025-02-12 00:01:00
80.0*2*86.4,2025-02-12 06:00:58
