record,created_at
32.8*2*26.1,1/1/2025 0:00
31.0*2*22.9,1/1/2025 6:00
29.0*2*20.7,1/1/2025 12:00
31.5*2*24.5,1/1/2025 13:29
30.5*2*23.8,1/1/2025 14:06
29.9*2*21.4,1/1/2025 14:54
30.6*2*24.6,1/1/2025 17:08
30.8*2*24.7,1/1/2025 18:00
31.2*2*24.9,1/2/2025 0:00
29.7*2*22.1,1/2/2025 6:00
29.0*2*20.5,1/2/2025 12:00
31.4*2*27.0,1/2/2025 18:01
32.1*2*21.4,1/3/2025 0:01
32.6*2*25.3,1/6/2025 15:02
32.8*2*25.2,1/6/2025 18:00
32.7*2*23.7,1/7/2025 0:00
29.2*2*21.5,1/7/2025 6:00
29.3*2*21.0,1/7/2025 12:00
29.9*2*23.7,1/7/2025 15:31
30.2*2*23.6,1/7/2025 18:00
30.9*2*21.1,1/7/2025 21:53
30.9*2*21.1,1/8/2025 0:00
30.0*2*20.6,1/8/2025 6:01
29.0*2*18.8,1/8/2025 12:00
33.4*2*26.8,1/8/2025 15:39
33.6*2*26.8,1/8/2025 18:00
33.2*2*23.4,1/9/2025 0:01
29.8*2*22.1,1/9/2025 6:00
29.3*2*20.2,1/9/2025 12:00
29.6*2*26.0,1/9/2025 18:01
33.8*2*26.8,1/10/2025 0:00
30.4*2*2,1/10/2025 6:00
29.7*2*21.4,1/10/2025 12:00
31.3*2*27.2,1/10/2025 18:01
29.8*2*22.6,1/11/2025 0:00
29.0*2*21.3,1/11/2025 6:00
28.3*2*19.8,1/11/2025 12:00
29.4*2*25.1,1/11/2025 18:01
33.3*2*26.1,1/12/2025 0:00
30.4*2*22.0,1/12/2025 6:00
29.0*2*20.2,1/12/2025 12:00
29.6*2*24.3,1/12/2025 18:01
31.0*2*20.9,1/12/2025 22:53
31.1*2*21.1,1/13/2025 0:00
30.5*2*21.1,1/13/2025 6:00
29.5*2*20.2,1/13/2025 12:00
34.7*2*28.9,1/13/2025 16:49
30.0*2*21.3,1/13/2025 21:38
30.0*2*21.3,1/14/2025 0:01
29.6*2*21.4,1/14/2025 6:00
28.7*2*20.4,1/14/2025 12:00
34.5*2*29.2,1/14/2025 16:19
34.6*2*28.9,1/14/2025 18:00
34.2*2*27.8,1/15/2025 0:00
30.5*2*22.5,1/15/2025 6:00
28.6*2*20.8,1/15/2025 12:00
31.4*2*26.2,1/15/2025 18:01
33.3*2*26.0,1/16/2025 0:01
30.8*2*21.5,1/16/2025 6:00
29.0*2*19.1,1/16/2025 12:01
30.2*2*27.1,1/16/2025 18:01
33.1*2*26.8,1/17/2025 0:00
30.2*2*22.3,1/17/2025 6:00
28.7*2*20.1,1/17/2025 12:00
29.7*2*28.4,1/17/2025 18:01
33.7*2*27.8,1/18/2025 0:00
30.0*2*22.7,1/18/2025 6:01
28.1*2*20.8,1/18/2025 12:01
33.5*2*28.4,1/18/2025 18:01
31.0*2*24.0,1/18/2025 19:49
31.0*2*24.0,1/19/2025 0:00
29.2*2*22.5,1/19/2025 6:00
29.7*2*22.4,1/19/2025 8:43
29.7*2*22.6,1/19/2025 12:00
34.1*2*25.2,1/19/2025 17:17
34.0*2*25.1,1/19/2025 18:00
2*2*2,1/20/2025 0:00
29.2*2*22.4,1/20/2025 6:00
28.5*2*20.0,1/20/2025 12:00
31.6*2*27.8,1/20/2025 18:00
31.6*2*23.6,1/21/2025 0:00
29.1*2*21.3,1/21/2025 6:00
28.3*2*21.1,1/21/2025 12:00
33.0*2*26.1,1/21/2025 18:01
33.6*2*26.2,1/22/2025 0:00
29.6*2*21.9,1/22/2025 6:00
32.1*2*25.3,1/22/2025 11:07
32.3*2*25.3,1/22/2025 12:01
32.6*2*27.1,1/22/2025 18:00
31.4*2*23.6,1/23/2025 0:01
29.7*2*2,1/23/2025 6:00
28.7*2*19.9,1/23/2025 12:01
30.5*2*26.9,1/23/2025 18:00
31.2*2*18.6,1/24/2025 0:00
27.8*2*20.2,1/24/2025 6:00
29.2*2*23.9,1/24/2025 9:51
29.3*2*24.9,1/24/2025 10:20
29.4*2*25.0,1/24/2025 12:00
30.5*2*26.0,1/24/2025 18:00
35.0*2*22.2,1/24/2025 21:08
35.3*2*22.3,1/25/2025 0:00
34.4*2*21.3,1/25/2025 6:00
29.4*2*20.5,1/25/2025 12:00
33.1*2*25.2,1/25/2025 18:00
32.5*2*24.0,1/25/2025 19:20
32.8*2*23.1,1/25/2025 20:32
2*2*23.2,1/26/2025 0:00
31.5*2*22.7,1/26/2025 6:00
31.2*2*21.7,1/26/2025 12:00
31.5*2*24.7,1/26/2025 18:00
32.5*2*23.0,1/27/2025 0:01
29.9*2*21.7,1/27/2025 6:00
29.6*2*20.2,1/27/2025 12:00
31.0*2*26.9,1/27/2025 18:00
35.4*2*28.4,1/28/2025 0:01
31.1*2*22.8,1/28/2025 6:01
29.4*2*21.2,1/28/2025 12:00
31.3*2*25.9,1/28/2025 18:00
32.8*2*26.1,1/29/2025 0:01
29.8*2*22.3,1/29/2025 6:01
29.4*2*20.4,1/29/2025 12:00
31.1*2*27.9,1/29/2025 18:00
33.8*2*2,1/30/2025 0:01
30.7*2*23.0,1/30/2025 6:00
30.3*2*21.5,1/30/2025 12:00
31.2*2*26.2,1/30/2025 18:00
31.8*2*24.5,1/30/2025 19:32
30.8*2*23.2,1/31/2025 0:01
29.3*2*21.5,1/31/2025 6:01
34.0*2*27.2,1/31/2025 18:12
