Time,X,Y,Z
2024-02-21_143334,0.0000000000,0.0000000000,0.0000000000
2024-02-21_143334,0.0001224944,0.0003249192,0.0003998312
2024-02-21_143334,0.0001512897,0.0001174742,0.0005720904
2024-02-21_143334,0.0001422095,0.0003107975,0.0007840700
2024-02-21_143334,0.0003749919,0.0003558533,0.0001191662
2024-02-21_143334,0.0002606772,0.0000589231,0.0006789047
2024-02-21_143334,0.0001601719,0.0003958613,0.0002362344
2024-02-21_143334,0.0003625092,0.0004089810,0.0001846792
2024-02-21_143334,0.0001979153,0.0001116591,0.0004103540
2024-02-21_143334,0.0002183601,0.0000481882,0.0005097646
2024-02-21_143334,0.0003411159,0.0000795106,0.0005082102
2024-02-21_143334,0.0000879313,0.0003211111,0.0003466177
2024-02-21_143334,0.0001603463,0.0004316659,0.0007011228
2024-02-21_143334,0.0004107952,0.0002634926,0.0005657169
2024-02-21_143334,0.0001612934,0.0001564749,0.0005275452
2024-02-21_143334,0.0002027389,0.0002056278,0.0004404430
2024-02-21_143334,0.0004178230,0.0003628026,0.0005890794
2024-02-21_143334,0.0000756774,0.0004867813,0.0001810264
2024-02-21_143334,0.0002260263,0.0003251588,0.0005548696
2024-02-21_143334,0.0002195963,0.0004980839,0.0002119810
2024-02-21_143334,0.0003650404,0.0002556620,0.0004887862
2024-02-21_143334,0.0001604474,0.0001267726,0.0006053297
2024-02-21_143334,0.0000771537,0.0001022518,0.0006301502
2024-02-21_143334,0.0001553830,0.0003064875,0.0002832615
2024-02-21_143334,0.0002326195,0.0003667573,0.0006819396
2024-02-21_143334,0.0002032357,0.0000765165,0.0003802976
2024-02-21_143334,0.0002960723,0.0003676320,0.0002424411
2024-02-21_143334,0.0000768883,0.0000917130,0.0008219962
2024-02-21_143334,0.0004032009,0.0003651027,0.0005328789
2024-02-21_143334,0.0001061412,0.0002529880,0.0003596398
2024-02-21_143334,0.0002469087,0.0001705815,0.0004913910
2024-02-21_143334,0.0002175206,0.0001632991,0.0006315119
2024-02-21_143334,0.0001739041,0.0001628361,0.0005277676
2024-02-21_143334,0.0002959174,0.0004202207,0.0003556779
2024-02-21_143334,0.0002253773,0.0005684704,0.0002079256
2024-02-21_143334,0.0001928100,0.0004497453,0.0001922033
2024-02-21_143334,0.0001308733,0.0003860504,0.0003901609
2024-02-21_143334,0.0002086067,0.0002594046,0.0003152597
2024-02-21_143334,0.0000094725,0.0000802729,0.0002729743
2024-02-21_143334,0.0001955346,0.0001891665,0.0002635553
2024-02-21_143334,0.0001926006,0.0001867391,0.0007940558
2024-02-21_143334,0.0001033835,0.0004287006,0.0009731694
2024-02-21_143334,0.0006296465,0.0005860836,0.0007647260
2024-02-21_143334,0.0001317594,0.0002184122,0.0003991747
2024-02-21_143334,0.0004118512,0.0001070855,0.0005842809
2024-02-21_143334,0.0002006835,0.0006050238,0.0009605120
2024-02-21_143334,0.0002436298,0.0002099485,0.0003946479
2024-02-21_143334,0.0001899872,0.0002948323,0.0003605542
2024-02-21_143334,0.0001817448,0.0005780689,0.0000128749
2024-02-21_143334,0.0002601814,0.0000914497,0.0004856780
2024-02-21_143334,0.0002993194,0.0001853039,0.0004849547
2024-02-21_143334,0.0000937215,0.0003445468,0.0003234159
2024-02-21_143334,0.0002453233,0.0002870954,0.0005349303
2024-02-21_143334,0.0002327295,0.0006884141,0.0002154241
2024-02-21_143334,0.0002486074,0.0002232335,0.0002382242
2024-02-21_143334,0.0002811278,0.0003200003,0.0002117982
2024-02-21_143334,0.0001811685,0.0003203448,0.0005413504
2024-02-21_143334,0.0003303224,0.0002344861,0.0004081258
2024-02-21_143334,0.0001056290,0.0004111837,0.0001389859
2024-02-21_143334,0.0002364123,0.0000906070,0.0005249947
2024-02-21_143334,0.0001488666,0.0002200968,0.0008108400
2024-02-21_143334,0.0001729256,0.0003244503,0.0004351112
2024-02-21_143334,0.0000779210,0.0002303753,0.0004194075
2024-02-21_143334,0.0000567470,0.0001266823,0.0004405506
2024-02-21_143334,0.0001275763,0.0002398428,0.0008062090
2024-02-21_143334,0.0001362234,0.0001078091,0.0003163925
2024-02-21_143334,0.0000460104,0.0005261942,0.0003174669
2024-02-21_143334,0.0001648872,0.0001736875,0.0005390766
2024-02-21_143334,0.0002170830,0.0003421137,0.0004570731
2024-02-21_143334,0.0002228997,0.0001773180,0.0008484257
2024-02-21_143334,0.0002169968,0.0003694633,0.0001651544
2024-02-21_143334,0.0002041715,0.0000564601,0.0008190460
2024-02-21_143334,0.0000907781,0.0001367473,0.0002746197
2024-02-21_143334,0.0002105153,0.0001882373,0.0003219826
2024-02-21_143334,0.0001256431,0.0003491968,0.0004335030
2024-02-21_143334,0.0003475590,0.0002487082,0.0004155698
2024-02-21_143334,0.0002110938,0.0004466722,0.0006590736
2024-02-21_143334,0.0005006738,0.0000761155,0.0004260689
2024-02-21_143334,0.0000714942,0.0002546333,0.0001891359
2024-02-21_143334,0.0003212716,0.0001258703,0.0006144874
2024-02-21_143334,0.0001599557,0.0002098202,0.0011158216
2024-02-21_143334,0.0000526233,0.0004944411,0.0002617677
2024-02-21_143334,0.0000517110,0.0003054546,0.0005090622
2024-02-21_143334,0.0003280148,0.0002910950,0.0002449306
2024-02-21_143334,0.0001151897,0.0000757220,0.0002713248
2024-02-21_143334,0.0003027562,0.0002644502,0.0005891051
2024-02-21_143334,0.0002146683,0.0005032064,0.0002909005
2024-02-21_143334,0.0002450057,0.0002741933,0.0004061731
2024-02-21_143334,0.0000831535,0.0002780587,0.0004310793
2024-02-21_143334,0.0000940685,0.0001151428,0.0005267973
2024-02-21_143334,0.0001014797,0.0002464724,0.0002042960
2024-02-21_143334,0.0002585229,0.0005854582,0.0006465347
2024-02-21_143334,0.0001611407,0.0003717476,0.0005687623
2024-02-21_143334,0.0001244640,0.0005162262,0.0005415197
2024-02-21_143334,0.0000483257,0.0002627523,0.0002785170
2024-02-21_143334,0.0002650714,0.0000286553,0.0001211906
2024-02-21_143334,0.0001817760,0.0002536039,0.0002342735
2024-02-21_143334,0.0001942037,0.0003242832,0.0008289239
2024-02-21_143334,0.0001328692,0.0002612247,0.0003056829
2024-02-21_143334,0.0003176788,0.0003646030,0.0003040094
2024-02-21_143334,0.0001282801,0.0006086465,0.0005902709
2024-02-21_143334,0.0004681108,0.0003848208,0.0003212232
2024-02-21_143334,0.0003899268,0.0001154019,0.0003364851
2024-02-21_143334,0.0000444913,0.0003575175,0.0002939845
2024-02-21_143334,0.0006023963,0.0002912861,0.0003632109
2024-02-21_143334,0.0000585881,0.0001856183,0.0002033455
2024-02-21_143334,0.0002163677,0.0001590206,0.0001858722
2024-02-21_143334,0.0000253927,0.0003265467,0.0001340305
2024-02-21_143334,0.0002522588,0.0003277827,0.0003998658
2024-02-21_143334,0.0002932620,0.0000842327,0.0008624855
2024-02-21_143334,0.0002156974,0.0004434689,0.0001673524
2024-02-21_143334,0.0003345732,0.0001051285,0.0006596605
2024-02-21_143334,0.0000919398,0.0000373450,0.0002420215
2024-02-21_143334,0.0001794894,0.0005247568,0.0004741539
2024-02-21_143334,0.0003387140,0.0004078799,0.0006168630
2024-02-21_143334,0.0000674714,0.0002179240,0.0000265123
2024-02-21_143334,0.0002346319,0.0003343557,0.0006997271
2024-02-21_143334,0.0001154198,0.0002877713,0.0005020695
2024-02-21_143334,0.0000753271,0.0005206067,0.0002845949
2024-02-21_143334,0.0001571682,0.0003141351,0.0003393757
2024-02-21_143334,0.0001738211,0.0002256912,0.0006304956
2024-02-21_143334,0.0003663025,0.0003474229,0.0005799024
2024-02-21_143334,0.0002019240,0.0003459502,0.0002874365
2024-02-21_143334,0.0003084191,0.0001787900,0.0006273552
2024-02-21_143334,0.0004009996,0.0000904739,0.0001835158
2024-02-21_143334,0.0002624010,0.0005166444,0.0006479435
2024-02-21_143334,0.0002831681,0.0002429005,0.0004527906
2024-02-21_143334,0.0000864008,0.0003616379,0.0006924159
2024-02-21_143334,0.0002193364,0.0003514272,0.0001155607
2024-02-21_143334,0.0000274382,0.0002849225,0.0005494097
2024-02-21_143334,0.0003543742,0.0002974295,0.0001322524
2024-02-21_143334,0.0000417938,0.0003324581,0.0004768407
2024-02-21_143334,0.0002273291,0.0001934779,0.0002849944
2024-02-21_143334,0.0001720141,0.0003665042,0.0005706449
2024-02-21_143334,0.0003087917,0.0002551249,0.0003059503
2024-02-21_143334,0.0001367068,0.0000664686,0.0004049771
2024-02-21_143334,0.0001462963,0.0001973847,0.0001407740
2024-02-21_143334,0.0002936683,0.0002615869,0.0002214067
2024-02-21_143334,0.0002516137,0.0002785326,0.0006523213
2024-02-21_143334,0.0000572726,0.0002369725,0.0000925771
2024-02-21_143334,0.0001962060,0.0002566098,0.0002261606
2024-02-21_143334,0.0005321133,0.0002809447,0.0003336470
2024-02-21_143334,0.0001480906,0.0002017755,0.0003501620
2024-02-21_143334,0.0001468101,0.0001051288,0.0002306228
2024-02-21_143334,0.0001131446,0.0002816326,0.0002459776
2024-02-21_143334,0.0002760880,0.0003717023,0.0002356473
2024-02-21_143334,0.0003461998,0.0001639287,0.0006377563
